Row Labels,Average of Results Quality,Average of Duration
"cosine anchor, text_weight = 1, title_weight =0.6, anchor_weight = 0.4,pr_weight = 0.3,pv_weight = 0.1",0.211233333,2.615177759
Apollo 11 moon landing 1969,1.6166410446166992,0.114,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.2454371452331543,0.604,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.343332052230835,0.396,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Academy Awards history Oscars,2.1991219520568848,0.724,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Fermentation food preservation techniques,1.323117971420288,0.243,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of pizza Italian cuisine,2.232387065887451,0.538,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
French cuisine traditional dishes,1.5174109935760498,0.224,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Endangered species conservation efforts,1.495368242263794,0.302,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Greek mythology Western culture,1.7371180057525635,0.198,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cold War proxy conflicts,1.9199340343475342,0.353,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.2472188472747803,0.231,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Human Genome Project DNA mapping,1.8301029205322266,0.488,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Italian pasta varieties and recipes,1.468001127243042,0.083,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Street food around the world,2.3649239540100098,0.092,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Surrealism art Salvador Dalí,1.691127061843872,0.351,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mediterranean diet health benefits,1.5715241432189941,0.224,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Civil Rights Movement 1960s protests,2.3556690216064453,0.138,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Manhattan Project atomic bomb,1.4329249858856201,0.31,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cheese types and production,1.2298998832702637,0.449,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Anime history Japan Studio Ghibli,2.0460116863250732,0.135,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Berlin Wall fall reunification,1.5499823093414307,0.081,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Sushi origins Japan,1.2382049560546875,0.139,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
World War I causes consequences,2.633769989013672,0.0,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Higgs Boson discovery physics,1.449418067932129,0.326,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Golden Age of Hollywood films,2.337346076965332,0.083,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.1083898544311523,0.504,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Turing Machine early computing,1.463653802871704,0.277,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Theory of Relativity Einstein,1.315727949142456,0.425,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mobile phone technology evolution,1.4502291679382324,0.112,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of chocolate production,2.0316638946533203,0.177,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Apollo 11 moon landing 1969,1.5344350337982178,0.084,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.3101890087127686,0.513,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.517467975616455,0.366,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Academy Awards history Oscars,2.249082088470459,0.645,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Fermentation food preservation techniques,1.2825558185577393,0.243,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of pizza Italian cuisine,1.1861460208892822,0.504,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
French cuisine traditional dishes,1.563162088394165,0.224,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Endangered species conservation efforts,1.5733060836791992,0.302,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Greek mythology Western culture,1.74772310256958,0.113,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cold War proxy conflicts,1.910459041595459,0.353,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.2979159355163574,0.179,2025-01-26 14:22:03,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Human Genome Project DNA mapping,1.7296090126037598,0.488,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Italian pasta varieties and recipes,1.4586598873138428,0.083,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Street food around the world,2.269484043121338,0.092,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Surrealism art Salvador Dalí,1.5923020839691162,0.351,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Mediterranean diet health benefits,1.4054200649261475,0.25,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
